PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
YKUeB,1k1r3r/Rp2qp2/3p4/1P5p/2NpP1pP/3P2P1/2P2P1n/R6K b - - 0 25,b8c8 c4b6 c8b8 b6d5 e7e4 d3e4,2399,97,87,466,crushing long middlegame,https://lichess.org/syAaAjGq/black#50
YKUgi,2kr1b1r/ppp1qppp/5n2/5b2/3nB3/2NQ1P2/PPP1N1PP/R1B1K2R b KQ - 6 11,d4e2 e4f5 c8b8 d3e2,1587,75,93,387,advantage hangingPiece intermezzo opening short,https://lichess.org/NFLQAZtU/black#22
YKUjb,2r4k/6p1/p2npr2/1p2N1Rp/3pbP1q/1Pp4P/P4RP1/2Q2BK1 b - - 5 33,e4h7 g2g3 h4g5 f4g5 f6f2 g1f2,1660,103,72,35,advantage long middlegame trappedPiece,https://lichess.org/zCTx3jUO/black#66
YKUw1,r4rk1/p5pp/3p4/qppnp1P1/1n6/2NP1N1P/1PPQBP2/1K1R3R w - - 1 19,c3d5 a5a2 b1c1 a2a1,1170,81,81,37,fork mate mateIn2 middlegame short,https://lichess.org/tanxRcLL#37
YKVJE,r4rk1/1pp2ppp/8/pPpPp3/P1P1P2b/2N2n1q/2B2PRP/R4Q1K b - - 1 19,f3d2 g2g7 g8g7 f1h3,1091,75,100,692,crushing discoveredAttack middlegame short,https://lichess.org/3gnoz6mp/black#38
YKVUP,r1b3k1/p1p1qppp/1p2r3/2Pp4/1P1Pn3/3BP3/1P3PPP/R1BQK2R w KQ - 2 14,f2f3 e7h4 g2g3 e4g3 h2g3 h4h1,1471,75,100,2642,advantage long middlegame,https://lichess.org/JFrw8oNo#27
YKVnK,r7/1b3Qpk/2p2q1p/p4B2/8/8/PPP3rP/1K2R3 b - - 4 25,h7h8 e1e8 a8e8 f7e8 f6f8 e8f8,1116,96,50,28,long mate mateIn3 middlegame,https://lichess.org/DEpEZr40/black#50
YKVv5,3k1r2/7R/n2pQp2/1p2pP2/3qP1P1/N7/P7/2K5 b - - 3 37,a6c5 e6e7 d8c8 e7f8,1505,81,74,60,endgame fork mate mateIn2 short,https://lichess.org/qCuwZgpf/black#74
YKVvC,4rrk1/1pp2ppn/p1np4/3P3p/B3P2q/8/PP3P1N/R1BQR2K b - - 0 20,e8e4 e1e4 h4e4 f2f3 e4d4 d5c6 d4d1 a4d1,1934,93,70,35,advantage middlegame veryLong,https://lichess.org/czcIdWTc/black#40
YKW6B,1rr5/p2R2pp/3np3/5k1P/6N1/bP1BP3/P2K1PP1/7R b - - 2 30,f5g4 d7g7,1391,75,85,485,mate mateIn1 middlegame oneMove,https://lichess.org/LSx05ToW/black#60
YKW8P,3r2k1/1q2b1p1/np2p3/p1p1Pp1P/2Pr1B2/P4NQ1/1P3PK1/R3R3 w - - 2 26,h5h6 g7g5 g2h2 d4f4,2138,77,85,213,crushing middlegame pin short,https://lichess.org/s67w1hU9#51
YKWBr,6Q1/ppknr2R/2pbrp2/8/6P1/2N2B2/PPP1P3/2qR1K2 b - - 2 28,c1c2 h7e7 e6e7 g8c4,2394,77,83,283,advantage middlegame short,https://lichess.org/amNwlIdN/black#56
YKWIP,3r1r1k/1pp1N1pp/pn3q2/8/8/P6Q/1PP2PPP/4RRK1 w - - 7 24,e1e6 f6f2 f1f2 d8d1 e6e1 d1e1 f2f1 e1f1,1657,74,95,2312,fork mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/S1POvPbo#47
YKWLn,2kr1b1r/2p3pp/1pqp1p2/1N5b/Q7/4B2P/PPP3P1/R4RK1 b - - 2 21,h5e8 b5a7 c8b7 a7c6,1471,75,93,1179,crushing fork middlegame short,https://lichess.org/yM5tTOCv/black#42
YKX34,r3r2k/pp4pp/6q1/4n3/1b1p2PR/1B1P2Q1/PP3BK1/R7 b - - 5 25,b4d6 h4h7 h8h7 a1h1,1912,85,73,49,advantage attraction kingsideAttack middlegame sacrifice short,https://lichess.org/8Qsr0kyC/black#50
YKX3A,1k1r3r/2p1q3/B2p4/p2P2Rp/1p5P/3Q1nn1/PPP5/2K4R b - - 1 29,f3g5 d3b5 b8a7 b5b7,1065,81,100,68,mate mateIn2 middlegame queensideAttack short,https://lichess.org/F4vrWjHt/black#58
YKX3n,2r3k1/4bppp/pB6/3R1nq1/1p6/4PQP1/PPN2P1P/7K b - - 0 30,c8c2 d5f5 g5g6 f3a8 e7f8 b6c5 c2c5 f5c5,2086,95,73,31,crushing middlegame pin veryLong,https://lichess.org/cIhGOQyJ/black#60
YKXXn,4rrk1/p4p2/1pp4p/6p1/1P1b1q1n/P1N4P/1BQP1PP1/4RRK1 w - - 4 21,c3e2 e8e2 e1e2 h4f3 g2f3 f4g3,2268,87,89,265,advantage kingsideAttack long middlegame pin sacrifice,https://lichess.org/eSZVbcHp#41
YKXnW,5rk1/3bqpp1/4p1np/1p2P3/2pPN2P/2P3B1/3Q1PP1/R5K1 b - - 1 24,g6h4 e4f6 g7f6 g3h4,1519,121,54,25,crushing interference intermezzo middlegame short,https://lichess.org/rzFuWYw5/black#48
YKXyM,5rk1/ppp3pp/2n1q3/7Q/4Nr2/2P5/PP4PP/3RR2K w - - 4 20,e4g5 e6e1 d1e1 f4f1 e1f1 f8f1,1446,76,94,1072,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/ndzlHkN4#39
YKY6w,3r4/6RB/2ppb3/p5P1/8/2k4P/2P2P2/6K1 w - - 1 31,g7a7 d8d7 a7a5 d7h7,2193,77,82,105,advantage endgame interference short,https://lichess.org/p83EThhj#61
YKYPM,rn1qk2r/pbp1nppp/1p2p3/3pP3/2PP4/3B1N2/P1P2PPP/R1BQK2R b KQkq - 0 8,e8g8 d3h7,1543,77,85,119,crushing kingsideAttack oneMove opening,https://lichess.org/E5d4LZgh/black#16
YKYWs,r7/pp3kp1/8/2P2b1R/5Pp1/2N5/PP1K4/8 b - - 3 30,f7g6 h5g5 g6f6 c3d5 f6f7 g5f5,1294,77,61,109,crushing deflection endgame exposedKing long,https://lichess.org/9nUgJc3x/black#60
YKYgF,4r3/7p/6p1/2P5/pk6/1p2P1P1/3PBK1P/1R6 w - - 1 40,c5c6 a4a3 e2d1 b3b2,1977,75,91,248,advancedPawn advantage endgame short,https://lichess.org/uNLEnw9c#79
YKYie,4q2k/1Q4pp/4P3/3p1p2/3NpP2/4P3/1p3KPP/1r6 b - - 0 34,h7h6 d4f5 e8g6 e6e7,1942,74,93,430,advancedPawn crushing endgame master short,https://lichess.org/wQljRF9t/black#68
YKYrw,r4rk1/ppp2pBp/8/3P1b2/N1B3n1/7q/P4bP1/R2Q1R1K w - - 0 16,g2h3 f5e4 d1f3 e4f3,1218,80,96,367,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/hGpGEDd5#31
YKZ4K,8/6p1/4kpP1/2p5/p1PpPK1P/P7/8/8 b - - 1 42,d4d3 f4e3 d3d2 e3d2,1058,296,-100,2,crushing endgame pawnEndgame short,https://lichess.org/fP8U1vpY/black#84
YKZ5F,8/5pkp/1R3p1b/2r5/5p1P/6P1/1P1p2K1/3R4 w - - 0 33,d1d2 f4f3 g2f3 h6d2,1310,77,94,456,advantage discoveredAttack endgame short,https://lichess.org/4XGha3d5#65
YKZI9,r5k1/1p2q1p1/pPp4P/4pr2/1P4R1/2PP4/3Q4/1b2KB2 b - - 0 29,f5h5 g4g7 e7g7 h6g7,1125,76,98,406,advancedPawn advantage fork middlegame short,https://lichess.org/0gSG1XOM/black#58
YKZKl,r2r2k1/pp3pp1/1n2q1bp/2QNP3/6P1/7P/PPP2PB1/2KRR3 b - - 0 19,b6d5 g2d5 d8c8 d5e6,1936,74,92,123,advantage middlegame short,https://lichess.org/x9fiCIrQ/black#38
YKZRU,1r2r1k1/2p2ppp/3qpn2/pp1p4/3P4/P1R1PP2/P1P1Q1PP/1RB3K1 w - - 0 19,b1b5 d6a6 c3b3 c7c6,2050,74,95,1149,crushing middlegame short,https://lichess.org/aFXieRFf#37
YKZS4,8/5p2/4k1p1/1pr4p/1R3P1P/4PKP1/8/8 w - - 3 38,f3e4 c5c4 b4c4 b5c4,1758,77,84,52,crushing endgame rookEndgame short,https://lichess.org/GlP8bsJO#75
YKZUa,3r2k1/p1q2pp1/2p2n1p/1p2RP2/2P2Q2/1P5P/P1B2PP1/6K1 w - - 0 27,e5e8 f6e8 f4c7 e8c7,1417,76,81,297,crushing endgame hangingPiece short,https://lichess.org/Chy18LQ5#53
YKZYS,r1b1r1k1/pp3ppp/3p4/4q3/3nP3/P1N2P2/1P2B1PP/2RQ1RK1 w - - 0 16,c3d5 d4e2 d1e2 e5d5 e4d5 e8e2,1847,76,92,287,advantage discoveredAttack kingsideAttack long middlegame,https://lichess.org/hANIViQQ#31
YKZZ2,5rk1/pp3Npp/2b1rb2/8/6Q1/q3B2P/P4PP1/2R1R1K1 b - - 0 22,g8f7 g4e6 f7e6 e3c5 e6f7 c5a3,1399,169,78,9,advantage discoveredAttack fork long middlegame sacrifice,https://lichess.org/Ha99fZ3l/black#44
YKZfa,1k6/1p2n3/p1p3q1/P1P1P1B1/1P1Pp1Q1/8/5K2/8 w - - 0 51,f2e3 e7d5 e3e2 e4e3,1868,150,75,7,crushing endgame master short,https://lichess.org/h2NZ3EQk#101
YKZji,r7/pbp2k2/1p1p1qn1/3P3Q/2P1PB2/3B4/PP6/5K1R w - - 3 34,e4e5 f6f4 f1e2 f4e5,1510,81,84,195,advantage hangingPiece middlegame short,https://lichess.org/T6bKIGIW#67
YKZn3,8/Q1p2k2/3p3p/3P2p1/P1q3P1/4K3/7P/8 b - - 3 46,f7f6 a7d4 c4d4 e3d4,971,137,-7,17,crushing endgame queenEndgame short,https://lichess.org/kNvYlqaY/black#92
YKZnZ,4r1k1/ppp2ppp/2pq1n2/8/1b6/2N2Q2/PPPB1PPP/3R2K1 b - - 4 18,f6g4 f3g4 d6d2 g1f1 b4c3 d1d2,2680,80,95,576,advantage intermezzo long middlegame,https://lichess.org/4Z7D4PfH/black#36
YKZop,3r1k1r/R4p2/5P1p/2pN2p1/2q3P1/6K1/PP6/3R4 b - - 0 34,d8d5 a7a8 d5d8 d1d8,1093,76,100,196,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/3e7zqsUJ/black#68
YKaB3,4rb2/p5k1/1p1p1p2/2pP1bpp/2P1N3/5PP1/P3RNP1/5K2 b - - 1 32,g5g4 e4d6 f8d6 e2e8,1752,75,89,382,advantage discoveredAttack endgame short,https://lichess.org/cEOuI3Od/black#64
YKaBN,r4qk1/5pp1/7p/4p3/pP1p4/5Q1P/5PP1/4R1K1 b - - 0 34,f8b4 f3a8,984,80,48,127,crushing endgame hangingPiece oneMove,https://lichess.org/royVA0vJ/black#68
YKaYZ,8/p7/3p2kp/3P1Np1/2b1p1P1/P3P2P/5K2/8 b - - 0 37,c4d5 f5e7 g6f6 e7d5,859,102,72,33,crushing endgame fork short,https://lichess.org/cPqgeun2/black#74
YKahE,r3r1k1/2p2p1p/1p1p2pP/p2Pp3/2q3R1/7P/PPPQ1P2/2K1R3 b - - 1 23,c4a2 d2g5 g8f8 g5f6,2023,75,94,1182,advantage endgame short,https://lichess.org/kC4J1AWz/black#46
YKaiS,2R5/6pk/4B2p/4qP2/1p6/6PP/5P1K/8 b - - 1 36,h6h5 e6g8 h7h6 c8c6,1194,76,80,192,crushing endgame short,https://lichess.org/F9pPvyv3/black#72
YKaiu,r4k2/1p1n1pb1/p5pp/2pP3n/2P5/2NQ1N1P/Pq3PP1/R4RK1 w - - 0 19,a1b1 b2c3 d3c3 g7c3,1529,210,100,11,equality middlegame short,https://lichess.org/yyMzLPZF#37
YKams,4r1k1/p6p/2pb2pP/1p1pn1Q1/q7/2P5/PPPB2P1/1K2RB2 b - - 0 23,a4g4 g5g4 e5g4 e1e8,1758,82,64,38,crushing kingsideAttack middlegame short,https://lichess.org/fM9iHZDc/black#46
YKats,6rk/p6p/3p3Q/1p1Pp1Np/4Pq1P/3K1P2/PP6/8 b - - 5 36,g8g7 h6g7 h8g7 g5e6 g7f7 e6f4,1545,162,15,14,attraction crushing endgame fork long sacrifice,https://lichess.org/YQrz4XfA/black#72
